ACCOUNT_NR;ACCOUNT_NAME;ACCOUNT_TYPE;VAT_NR;STREET;STREET_CD;HOUSE_NUM1;HOUSE_NUM2;POSTAL_CD;CITY;COUNTRY_CD;PHONE_NR;FAX_NR;Full Address
1000162;De Merbes-Sprimont-Marpic;2;BE0421314253;Rue Des Usines;101010;20;;6567;LabuissiËre ( Merbes-Le-Ch‚teau );BE;071 55 59 61;3271558951;Rue Des Usines 20  6567 LabuissiËre ( Merbes-Le-Ch‚teau )
1000163;Vemoflex;2;BE0423688476;Dorp;25480;191;;1730;Mollem ( Asse );BE;02 454 01 90;3224528931;Dorp 191  1730 Mollem ( Asse )
1000164;Kantoor Standaert;2;BE0417499183;Stationsstraat;70960;57;;9990;Maldegem;BE;050 72 93 41;3250716080;Stationsstraat 57  9990 Maldegem
1000165;Groupe Thiran;2;BE0425342624;Rue du Parc Industriel d'AchÍne;141906;2;;5590;AchÍne ( Ciney );BE;083 23 07 90;3283230780;Rue du Parc Industriel d'AchÍne 2  5590 AchÍne ( Ciney )
1000166;Benoit Henrotte;2;BE0718168402;Rue de Vance;140397;26;;6720;Habay-la-Neuve;BE;063 42 21 62;3263422162;Rue de Vance 26  6720 Habay-la-Neuve
1000167;Advocatenassociatie Nelissen Grade;2;BE0454240706;Philipssite;163144;5;2;3001;Heverlee ( Leuven );BE;016 22 24 73;3216222482;Philipssite 5 2 3001 Heverlee ( Leuven )
1000168;Pullmaflex Benelux;2;BE0406887482;Kortrijkstraat;57277;343;;8560;Wevelgem;BE;056 43 81 30;3256438131;Kortrijkstraat 343  8560 Wevelgem
1000169;And3 Accountants & Belastingconsulenten;2;BE0418390001;Prins Boudewijnlaan;3185;91;1;2610;Wilrijk ( Antwerpen );BE;03 286 42 50;3232864259;Prins Boudewijnlaan 91 1 2610 Wilrijk ( Antwerpen )
1000171;Caldic Belgium;2;BE0403671933;Terlochtweg;5268;1;;2620;Hemiksem;BE;03 870 48 11;3238704998;Terlochtweg 1  2620 Hemiksem
1000173;Meubelfabriek Lievens;2;BE0413666990;Kanegemstraat;63113;11;;8700;Tielt;BE;051 72 94 70;3251400128;Kanegemstraat 11  8700 Tielt
1000174;Veriac;2;BE0418139284;De Villermontstraat;6027;9;;2550;Kontich;BE;03 450 11 11;3234501122;De Villermontstraat 9  2550 Kontich
1000175;Drukkerij Strobbe;2;BE0402756767;Regina Wautersweg;165044;13;;8800;Beveren-Roeselare;BE;051 33 32 11;3251313342;Regina Wautersweg 13  8800 Beveren-Roeselare
1000176;DPO Accountancy Noord;2;BE0422265843;Kleemstraat;75444;84;;9041;Oostakker;BE;09 255 50 94;3292555097;Kleemstraat 84  9041 Oostakker
1000177;L. Smeulders;2;BE0632048238;Ernest Claesstraat;12398;4;;2860;Sint-Katelijne-Waver;BE;015 31 59 37;3215315937;Ernest Claesstraat 4  2860 Sint-Katelijne-Waver
1000178;Ericsson;2;BE0414653818;Lozenberg;33215;18;;1932;Sint-Stevens-Woluwe ( Zaventem );BE;02 745 12 11;3227451219;Lozenberg 18  1932 Sint-Stevens-Woluwe ( Zaventem )
1000180;Entreprises Lepage FrËres;2;BE0401722332;Rue de l'Aurore;86561;2A;;6040;Jumet ( Charleroi );BE;071 28 57 00;3271285701;Rue de l'Aurore 2A  6040 Jumet ( Charleroi )
1000181;Les Pharmacies Populaires LiÈgeoises;2;BE0402352337;Sq Des Conduites-d'Eau 9 -10;160011;;;4020;LiËge;BE;04 345 88 11;3243624667;Sq Des Conduites-d'Eau 9 -10   4020 LiËge
1000182;Deutsche Bank AG bijkantoor BelgiÎ;2;BE0418371094;Marnixlaan;20354;13-15;;1000;Brussel;BE;02 551 65 11;3225516598;Marnixlaan 13-15  1000 Brussel
1000183;Imprimerie Dereume;2;BE0401844175;Rue Golden Hope;26640;1;;1620;Drogenbos;BE;02 378 21 27;3223783729;Rue Golden Hope 1  1620 Drogenbos
1000186;UBIC;2;BE0406466127;Rue du Lombard;20315;34;;1000;Bruxelles;BE;02 520 73 00;;Rue du Lombard 34  1000 Bruxelles
1000187;Heilig Hartziekenhuis;2;;Rijselstraat;56708;71-73;;8930;Menen;BE;056 52 21 11;3256522520;Rijselstraat 71-73  8930 Menen
1000188;Essity Belgium;2;BE0405681516;Rue de La Papeterie;120802;2;;4801;Stembert ( Verviers );BE;087 30 66 11;3287339424;Rue de La Papeterie 2  4801 Stembert ( Verviers )
1000193;Rijksverlofkas Diamantnijverheid;2;BE0410614262;Hoveniersstraat;1282;22;;2018;Antwerpen;BE;03 213 50 30;3232311674;Hoveniersstraat 22  2018 Antwerpen
1000194;Home Le Foyer;2;BE0432314053;Rue Louis Burteau;146481;48;;5032;Bothey ( Gembloux );BE;081 63 30 24;3281634365;Rue Louis Burteau 48  5032 Bothey ( Gembloux )
1000196;Georgette Vause-Hercot;2;BE0725136861;Camp de Corroy;106205;75;;4500;Huy;BE;085 21 37 24;;Camp de Corroy 75  4500 Huy
1000197;Constructions AndrÈ Houyoux;2;BE0404358950;ChaussÈe de Rochefort;137594;29;;6900;Marche-en-Famenne;BE;084 31 10 68;3284316311;ChaussÈe de Rochefort 29  6900 Marche-en-Famenne
1000198;Aannemingen M. en J. Braet;2;BE0440757607;Toevluchtweg;64610;2;;8620;Nieuwpoort;BE;058 23 31 13;3258239127;Toevluchtweg 2  8620 Nieuwpoort
1000199;De Brandt;2;BE0412870996;Sint-Ursmarusstraat;69038;23;;9200;Baasrode;BE;052 34 10 11;3252337924;Sint-Ursmarusstraat 23  9200 Baasrode
1000204;Brother International Belgium;2;BE0411519530;Industrialaan;26364;32;;1702;Groot-Bijgaarden ( Dilbeek );BE;02 467 42 11;;Industrialaan 32  1702 Groot-Bijgaarden ( Dilbeek )
1000208;Fabricom Infra Sud;2;BE0403136255;ChaussÈe de Tubize;40622;489;;1420;Braine-L'Alleud;BE;02 389 22 11;3223892200;ChaussÈe de Tubize 489  1420 Braine-L'Alleud
1000209;FeBeD;2;BE0409571612;Boulevard Edmond Machtens;23229;83;;1080;Molenbeek-Saint-Jean ( Bruxelles );BE;02 410 33 47;3224103545;Boulevard Edmond Machtens 83  1080 Molenbeek-Saint-Jean ( Bruxelles )
